Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score,Adjusted Cost,Average Adjusted Laptime,Fuel Efficiency Factor,Best Acceleration Time,Best Autocross Time,Endurance Time,Endurance Penalty,Adjusted Endurance Time,Endurance Time Score,Endurance Laps,Endurance Laps Score,Best Skidpad Time,Engine Cylinders,Engine Displacement (cc),Weight (kg)
<=50,118.0,Liberty Univ_2025,,83.2,14.1,60.0,>=70,>=15,>=70,>=125,41.9,521.6,15719.0,153.964,0.509,4.554,55.716,1525.635,,1539.635,122.2,10.0,25.0,,4.0,600.0,222.3
<=50,93.0,Michigan Tech Univ_2025,,76.4,14.2,100.0,>=80,>=40,>=70,>=10,,412.8,16281.0,,,4.34,56.818,,,,,,,5.437,2.0,500.0,205.0
<=50,45.0,Minnesota State University - Mankato_2025,,78.9,43.1,80.0,>=70,>=40,>=70,>=100,24.3,549.1,15591.0,160.15,0.417,4.518,55.772,1573.495,,1601.495,96.0,10.0,25.0,5.494,4.0,600.0,216.8
<=75,75.0,Mississippi State Univ_2025,,77.4,66.9,75.0,<50,>=15,>=90,<25,,383.8,20610.0,,,5.055,53.548,,,,,,,6.057,1.0,450.0,182.3
<=100,78.0,Missouri State University_2025,,56.3,32.8,40.0,,,,,,129.1,18486.0,,,,,,,,,,,,1.0,450.0,168.3
<=25,98.0,Missouri University of Science and Tech_2025,,70.5,67.8,100.0,>=70,>=50,>=70,>=150,30.2,623.6,18760.0,152.886,0.448,4.564,56.061,1490.862,,1528.862,126.9,10.0,25.0,5.403,4.0,636.0,220.0
<=100,40.0,Montana State Univ - Bozeman_2025,,42.2,20.0,20.0,,,,,,82.2,12182.0,,,,,,,,,,,,4.0,600.0,318.9
<=50,128.0,North Carolina State Univ - Raleigh_2025,,70.7,37.1,100.0,>90,>=50,>=80,>=10,,444.3,21821.0,,,4.307,54.985,,,,,,,5.416,4.0,675.0,200.5
>100,116.0,North Dakota State Univ_2025,,-50.0,12.0,20.0,<50,<15,<50,>=10,,20.5,,,,7.61,79.140,,,,,,,,1.0,690.0,257.2
<=100,72.0,Northern Arizona Univ_2025,,39.3,29.1,40.0,,,,,,108.4,18531.0,,,,,,,,,,,,4.0,600.0,270.8
<=100,105.0,Northern Illinois Univ_2025,,34.7,13.3,20.0,,,,,,68.0,24620.0,,,,,,,,,,,,4.0,600.0,243.6
<=25,138.0,Oakland University_2025,,68.1,60.0,80.0,>=70,>=60,>=90,>=200,41.4,688.5,17939.0,141.309,0.507,4.558,53.020,1413.087,,1413.087,182.9,10.0,25.0,5.278,4.0,600.0,223.2
<=75,117.0,Oklahoma State Univ_2025,,-11.0,51.8,60.0,>=80,>=30,>=60,>=100,,386.2,,,,4.364,58.017,1553.714,,1649.714,76.9,10.0,25.0,5.75,4.0,636.0,240.9
<=100,47.0,Oregon Inst of Tech_2025,,35.1,,60.0,,,,,,95.1,20770.0,,,,,,,,,,,,4.0,600.0,227.2
<=100,41.0,Pellissippi State Community College_2025,,46.6,56.3,40.0,,,,<25,,143.8,16915.0,,,,,,,,,,,,4.0,600.0,206.8
<=100,95.0,Purdue Univ - Northwest_2025,,61.2,34.0,60.0,,,,,,155.2,15717.0,,,,,,,,,,,,4.0,600.0,205.9
<=10,8.0,Purdue Univ - W Lafayette_2025,,66.8,41.8,150.0,>90,>=60,>=90,>=200,28.9,753.6,27415.0,140.196,0.441,4.26,53.138,1381.962,,1401.962,188.7,10.0,25.0,5.225,4.0,599.0,203.7
<=50,52.0,Sacramento State Univ_2025,,67.0,15.9,80.0,>=70,>=30,>=80,>=150,38.5,559.9,15892.0,150.638,0.491,4.585,54.458,1456.384,,1506.384,137.1,10.0,25.0,5.657,4.0,636.0,213.2
<=75,36.0,Saginaw Valley State Univ_2025,,62.9,6.6,45.0,>=70,>=40,>=50,,,283.4,13128.0,,,4.649,60.151,,,,,,,5.513,4.0,600.0,211.8
<=50,80.0,South Dakota School of Mines & Tech_2025,,46.3,25.0,60.0,>=60,>=50,>=80,>=125,35.1,518.0,19939.0,154.947,0.473,4.67,54.685,1487.469,,1549.469,117.9,10.0,25.0,5.355,4.0,600.0,222.7
<=100,82.0,South Dakota State Univ_2025,,50.6,14.8,40.0,,>=30,>=60,>=10,,211.7,20427.0,,,,58.790,,,,,,,5.708,4.0,600.0,203.2
<=75,125.0,Southern Illinois Univ - Carbondale_2025,,24.9,25.2,35.0,>=70,>=15,>=50,>=100,27.4,373.8,20614.0,164.259,0.433,4.612,59.744,1600.588,,1642.588,79.7,10.0,25.0,5.802,4.0,600.0,231.3
<=100,141.0,St Cloud State Univ_2025,,26.8,16.1,40.0,,,,,,82.9,20316.0,,,,,,,,,,,,4.0,600.0,243.1
<=50,108.0,Temple Univ_2025,,68.0,58.1,80.0,>=60,>=30,>=70,>=10,,394.0,13774.0,,,4.73,56.814,,,,,,,5.628,4.0,600.0,200.9
<=75,54.0,Tennessee Tech Univ_2025,,71.0,18.9,60.0,<50,>=15,>=50,>=10,23.8,320.8,10188.0,177.38,0.414,5.239,59.236,,,,,,,5.788,2.0,638.0,196.4
<=5,5.0,Texas A & M Univ - College Station_2025,,78.5,66.4,113.0,>=80,>=60,>100,>250,38.7,811.3,16242.0,133.234,0.493,4.324,51.357,1300.335,,1332.335,227.6,10.0,25.0,5.202,4.0,600.0,203.2
<=100,122.0,Trinity Univ_2025,-20.0,31.9,48.6,10.0,,,,,,70.5,10972.0,,,,,,,,,,,,4.0,600.0,323.9
<=100,109.0,UP Aguascalientes_2025,,56.6,10.9,15.0,,,,,,82.4,24026.0,,,,,,,,,,,,4.0,600.0,299.8
<=75,70.0,US Naval Academy_2025,,27.3,14.2,60.0,>=60,>=15,>=60,<25,,258.5,24955.0,,,4.777,58.236,,,,,,,,2.0,500.0,210.0
<=10,48.0,Univ of Alabama Tuscaloosa_2025,,59.6,59.4,116.0,>=80,>=50,>100,>=200,39.5,744.8,,,,,,,,,,,,,,,
<=100,100.0,Univ of Arizona_2025,,59.1,51.0,40.0,<50,<15,<50,>=10,,176.6,16501.0,,,8.901,75.377,,,,,,,6.884,4.0,600.0,225.0
<=75,24.0,Univ of British Columbia_2025,,73.5,19.1,100.0,>=60,>=15,>=50,>=10,,354.1,26175.0,,,4.81,60.116,,,,,,,,4.0,599.0,214.1
<=25,3.0,Univ of Calif - Berkeley_2025,,80.3,59.5,100.0,>=50,>=60,>=90,>=125,64.7,664.9,19249.0,155.195,0.629,4.862,53.170,1427.945,120.0,1551.945,116.8,10.0,25.0,5.208,1.0,450.0,167.8
<=75,35.0,Univ of Calif - Irvine_2025,,40.9,18.5,60.0,,>=30,>=60,<25,,227.6,19532.0,,,,,,,,,,,5.602,4.0,600.0,239.0
<=100,39.0,Univ of Central Florida_2025,,53.8,14.3,80.0,,,>=60,,,215.2,22778.0,,,,57.602,,,,,,,,4.0,636.0,215.5
<=50,60.0,Univ of Cincinnati_2025,,50.5,34.7,80.0,>=70,>=40,>=90,>=10,42.3,432.1,16988.0,158.041,0.512,4.504,53.686,,,,,,,5.545,2.0,689.0,222.3
<=50,103.0,Univ of Colorado Boulder_2025,,67.1,42.0,80.0,>=70,>=30,>=50,>=125,55.1,547.5,,,,,,,,,,,,,,,
<=50,4.0,Univ of Connecticut_2025,,66.8,69.0,100.0,>=80,>=60,>100,>=10,34.1,552.7,21015.0,133.325,0.468,4.32,51.052,,,,,,,5.159,4.0,600.0,221.4
<=75,86.0,Univ of Delaware_2025,,38.1,17.0,40.0,>=50,>=15,<50,>=25,11.6,246.6,22215.0,184.989,0.35,4.879,65.827,1769.894,,1849.894,8.5,10.0,25.0,5.946,4.0,636.0,226.8
<=50,59.0,Univ of Georgia_2025,,62.5,64.4,80.0,>=60,>=15,>=70,>=100,20.8,496.2,14099.0,163.456,0.398,4.799,56.247,1602.557,,1634.557,82.8,10.0,25.0,5.906,4.0,600.0,220.9
<=50,107.0,Univ of Hartford_2025,,40.0,18.9,60.0,>=50,>=30,>=60,>=50,48.1,405.2,22987.0,169.766,0.542,4.923,58.801,1617.658,,1697.658,59.1,10.0,25.0,5.642,1.0,450.0,176.4
<=100,53.0,Univ of Houston Houston_2025,,58.3,41.2,40.0,,,,,,139.4,,,,,,,,,,,,,,,
<=50,115.0,Univ of Illinois - Chicago_2025,,81.2,55.6,40.0,>=60,<15,>=60,>=50,22.0,407.1,13248.0,173.8,0.405,4.661,58.241,1734.0,,1738.0,44.8,10.0,25.0,6.311,4.0,600.0,212.3
<=75,88.0,Univ of Kentucky_2025,,55.0,19.6,60.0,<50,>=30,>=50,<25,,269.3,29390.0,,,5.131,60.443,,,,,,,5.678,4.0,600.0,227.2
>100,142.0,Univ of Maine_2025,,43.9,,20.0,,,,,,63.9,13145.0,,,,,,,,,,,,4.0,600.0,254.9
<=50,101.0,Univ of Manitoba_2025,,68.7,50.2,75.0,<50,>=30,<50,>=100,51.9,455.1,18960.0,159.993,0.562,5.232,70.942,1483.93,60.0,1599.93,96.6,10.0,25.0,5.606,1.0,450.0,191.0
<=25,56.0,Univ of Maryland - College Park_2025,,81.5,67.6,100.0,>=70,>=50,>=90,>=100,18.0,597.8,21590.0,163.571,0.384,4.487,53.644,1595.711,,1635.711,82.4,10.0,25.0,5.393,4.0,600.0,213.2
<=100,123.0,Univ of Massachusetts - Lowell_2025,,71.5,28.1,10.0,,,,,,109.6,21933.0,,,,,,,,,,,,4.0,600.0,259.5
<=50,92.0,Univ of Michigan - Dearborn_2025,,72.4,19.7,80.0,>=50,>=50,>=70,>=150,40.2,560.4,16679.0,150.113,0.501,4.854,56.462,1469.13,,1501.13,139.5,10.0,25.0,5.43,2.0,600.0,222.3
<=25,22.0,Univ of Missouri_2025,,63.2,50.4,80.0,>90,>=50,>=90,>=150,23.8,629.7,18207.0,149.264,0.414,4.229,53.453,1432.636,,1492.636,143.5,10.0,25.0,5.35,4.0,636.0,206.8
<=25,43.0,Univ of Nebraska - Lincoln_2025,,64.6,55.0,100.0,>=70,>=60,>100,>=175,29.0,680.6,15472.0,144.808,0.442,4.622,51.213,1376.083,,1448.083,165.0,10.0,25.0,5.248,4.0,636.0,205.5
<=10,2.0,Univ of North Carolina Charlotte_2025,,79.8,75.0,111.0,>=70,>=50,>=90,>=150,73.4,729.0,,,,,,,,,,,,,,,
<=50,77.0,Univ of North Florida_2025,,61.0,51.3,75.0,<50,>=30,>=60,>=50,26.4,454.1,20141.0,165.834,0.428,5.338,57.586,1588.339,,1658.339,73.6,10.0,25.0,5.645,4.0,600.0,229.1
<=75,46.0,Univ of Oklahoma_2025,,57.9,17.7,60.0,>90,,,>=10,,241.3,25183.0,,,4.264,,,,,,,,,4.0,636.0,217.3
<=100,87.0,Univ of Ottawa_2025,,56.4,40.7,60.0,,,,<25,,158.1,17732.0,,,,,,,,,,,,4.0,600.0,226.3
<=75,120.0,Univ of Saskatchewan_2025,,67.6,44.1,35.0,,>=30,<50,>=25,,243.6,17963.0,,,,63.409,1892.251,,2116.251,-,10.0,25.0,5.696,4.0,600.0,243.1
<=75,71.0,Univ of South Florida_2025,,52.0,14.2,80.0,>=80,>=50,>=90,,,385.5,30122.0,,,4.377,53.334,,,,,,,5.287,4.0,600.0,222.7
<=50,131.0,Univ of Southern California_2025,,57.7,29.7,121.0,>=50,>=50,>100,>=50,24.1,518.8,24307.0,177.092,0.416,4.849,50.599,1390.923,360.0,1770.923,33.6,10.0,25.0,5.345,4.0,600.0,227.7
<=10,81.0,Univ of Texas - Arlington_2025,,84.4,41.3,105.0,>90,>=60,>100,>=150,62.9,731.5,14536.0,148.656,0.62,4.286,51.314,1398.558,60.0,1486.558,146.4,10.0,25.0,5.179,2.0,321.0,190.5
<=50,104.0,Univ of Texas - Austin_2025,,88.6,52.4,100.0,>=50,>=30,>=70,<25,,406.3,16901.0,,,5.044,56.048,,,,,,,,4.0,600.0,212.3
<=50,96.0,Univ of Toledo_2025,,44.0,17.7,40.0,>=50,>=40,>=50,>=100,94.1,453.0,15156.0,165.22,0.784,4.97,59.090,1610.196,,1652.196,76.0,10.0,25.0,5.54,2.0,471.0,212.3
<=25,29.0,Univ of Victoria_2025,,71.2,43.9,100.0,>=50,>=50,>=90,>=175,26.4,649.6,17904.0,143.304,0.428,4.902,52.385,1407.04,,1433.04,172.6,10.0,25.0,5.373,4.0,599.0,215.0
<=10,124.0,Univ of Wisconsin - Madison_2025,,79.1,48.3,135.0,>90,>=50,>=80,>=150,79.6,749.2,17941.0,149.56,0.708,4.271,54.110,1429.599,,1495.599,142.1,10.0,25.0,5.3,2.0,689.0,211.4
<=25,61.0,Univ of Wisconsin - Platteville_2025,,52.8,46.5,80.0,>=70,>=50,>=70,>=150,56.8,599.6,19249.0,151.626,0.588,4.546,55.738,1474.258,,1516.258,132.6,10.0,25.0,5.407,2.0,689.0,251.3
<=100,42.0,Universidad Metropolitana_2025,,80.0,16.6,40.0,,,,>=10,,151.7,13363.0,,,,,,,,,,,,4.0,636.0,259.5
<=100,111.0,Universidad Panamericana Sede Guadalajar_2025,,74.7,42.6,10.0,,,,,,127.3,16099.0,,,,,,,,,,,,4.0,600.0,296.6
1,65.0,Universidad Politecnica de Valencia_2025,,83.2,50.4,133.0,>90,>=60,>100,>250,64.4,883.7,21408.0,131.686,0.628,4.306,48.878,1292.864,,1316.864,236.8,10.0,25.0,5.08,4.0,600.0,210.5
<=25,51.0,Universite de Sherbrooke_2025,,66.7,46.4,100.0,>=80,>=40,>=80,>=200,56.4,698.3,16777.0,139.734,0.586,4.384,54.897,1393.337,,1397.337,191.2,10.0,25.0,5.539,2.0,500.0,192.8
<=50,9.0,Villanova Univ_2025,,81.3,59.3,80.0,>=70,>=40,>=90,>=50,21.9,544.6,18502.0,170.948,0.404,4.501,52.704,1483.477,120.0,1709.477,54.8,10.0,25.0,5.495,4.0,636.0,218.2
<=25,74.0,Virginia Tech_2025,,69.7,58.2,100.0,>=80,>=50,>=90,>=175,36.9,674.4,16473.0,147.88,0.483,4.421,53.015,1396.798,,1478.798,150.0,10.0,25.0,5.346,2.0,660.0,208.2
<=75,73.0,Washington State Univ_2025,,52.5,54.3,55.0,>=60,>=40,>=60,<25,,334.0,23695.0,,,4.797,58.580,,,,,,,5.548,4.0,650.0,247.7
<=75,76.0,Washington Univ - St Louis_2025,,63.7,15.9,80.0,>=60,>=30,>=70,>=10,,364.9,23185.0,,,4.78,55.725,,,,,,,5.6,4.0,600.0,225.0
<=75,97.0,Wayne State Univ_2025,,71.3,53.0,80.0,>=60,>=30,<50,>=10,9.9,343.8,18539.0,186.405,0.341,4.744,78.784,,,,,,,5.705,4.0,600.0,205.9
<=75,66.0,West Virginia Univ_2025,,57.0,40.1,60.0,<50,>=30,<50,,,236.3,23741.0,,,7.295,62.942,,,,,,,,1.0,450.0,206.8
<=75,132.0,Wichita State Univ_2025,,74.4,11.9,60.0,<50,>=15,<50,>=25,,269.0,23405.0,,,5.13,65.117,2158.993,,2206.993,-,10.0,25.0,,4.0,600.0,215.0
<=100,62.0,York College of Pennsylvania_2025,,52.2,11.6,60.0,,,,,,123.8,20757.0,,,,,,,,,,,,4.0,600.0,232.2
<=5,106.0,lowa State Univ_2025,,85.4,35.4,80.0,>=80,>=60,>100,>250,39.3,754.2,,,,,,,,,,,,,,,
>100,129.0,California State Univ - Chico_2025,,-50.0,14.3,,,,,,,20.0,,,,,,,,,,,,,1.0,450.0,
>100,114.0,Southern Illinois Univ - Edwardville_2025,,-50.0,17.6,,,,,,,20.0,,,,,,,,,,,,,4.0,600.0,
